train/id08108/RCODGWdfzdY/00197.npy,47,44
train/id07077/oi72_HHDWY4/00288.npy,3,64
train/id08249/dsn2lLxlZbk/00252.npy,39,67
train/id00699/QI28fRb0If0/00210.npy,83,9
train/id09016/6I_lLzwgvkM/00070.npy,36,21
train/id06010/GkwcLm1pMQ8/00174.npy,70,87
train/id06017/Tso_NGmFodE/00213.npy,12,88
train/id00015/AD2Mmf774IU/00084.npy,65,58
train/id04526/kFbC8t3SIds/00365.npy,1,102
train/id02179/gIyBv3aZC78/00284.npy,14,87
train/id07955/Ya2nUm6UqLM/00192.npy,5,88
train/id08592/Od80WxqSctQ/00243.npy,77,25
train/id05480/sU4FrcJR3mA/00361.npy,9,72
train/id06645/7G_MrWzxs2M/00043.npy,80,20
train/id00979/J_LmhJbnBRY/00080.npy,15,69
train/id07447/eAMd_xF3Byg/00275.npy,64,47
train/id06496/CyccYJatl0I/00152.npy,35,82
train/id08457/O2S_2_m6Vz4/00216.npy,29,88
train/id01355/k3ynNwSHvns/00316.npy,19,19
train/id03918/Bp-3c4Byhuc/00124.npy,39,14
train/id07970/nJ-UVuO9Qwg/00393.npy,65,32
train/id04015/QG_Do5-Djc8/00238.npy,57,9
train/id05010/cIiE2vuaT_I/00265.npy,31,32
train/id06843/RhNn36zXXt0/00175.npy,23,74
train/id04219/8fC_ZCcv1i8/00090.npy,55,35
train/id07293/lVVi9w5Lb24/00229.npy,34,28
train/id01264/rULjamb553Y/00338.npy,0,128
train/id07744/bAQ2XjGzZtg/00366.npy,5,164
train/id02455/U35cj9SOmSA/00239.npy,104,38
train/id08249/dsn2lLxlZbk/00263.npy,79,17
train/id07741/BIKbHajqElw/00109.npy,9,132
train/id06702/sGuruYpQOhY/00436.npy,58,42
train/id07108/DJU3eYgezyQ/00055.npy,1,31
train/id02102/NRUXgEVnG6Q/00214.npy,39,65
train/id07136/84dhZ7L2paw/00093.npy,57,41
train/id08745/hmQrj7eorH0/00400.npy,11,35
train/id03824/VZxqNB9rGrQ/00279.npy,0,174
train/id01457/EB2iCfYHT3c/00042.npy,35,142
train/id08834/CYWH3wMmR4k/00123.npy,12,53
train/id07613/JS9nah3cpU8/00109.npy,20,42
train/id05241/eACIcQwMeI0/00328.npy,4,75
train/id08241/H-lWqIcuZKU/00095.npy,68,6
train/id07560/uB0vx8EGpBQ/00458.npy,3,47
train/id06070/7CHaF5pDV5s/00046.npy,14,76
train/id03258/RxqiLEzzLAs/00258.npy,23,143
train/id01764/uljw5bJIyEg/00452.npy,13,207
train/id03312/rd6hS0QBEnM/00447.npy,16,85
train/id02339/JCHJs7HDmms/00168.npy,5,49
train/id04081/sZRVgS1aul0/00455.npy,35,41
train/id05913/7sk_F1e4PZo/00060.npy,31,64
