train/id08108/RCODGWdfzdY/00197,47,44
train/id07077/oi72_HHDWY4/00288,3,64
train/id08249/dsn2lLxlZbk/00252,39,67
train/id00699/QI28fRb0If0/00210,83,9
train/id09016/6I_lLzwgvkM/00070,36,21
train/id06010/GkwcLm1pMQ8/00174,70,87
train/id06017/Tso_NGmFodE/00213,12,88
train/id00015/AD2Mmf774IU/00084,65,58
train/id04526/kFbC8t3SIds/00365,1,102
train/id02179/gIyBv3aZC78/00284,14,87
train/id07955/Ya2nUm6UqLM/00192,5,88
train/id08592/Od80WxqSctQ/00243,77,25
train/id05480/sU4FrcJR3mA/00361,9,72
train/id06645/7G_MrWzxs2M/00043,80,20
train/id00979/J_LmhJbnBRY/00080,15,69
train/id07447/eAMd_xF3Byg/00275,64,47
train/id06496/CyccYJatl0I/00152,35,82
train/id08457/O2S_2_m6Vz4/00216,29,88
train/id01355/k3ynNwSHvns/00316,19,19
train/id03918/Bp-3c4Byhuc/00124,39,14
train/id07970/nJ-UVuO9Qwg/00393,65,32
train/id04015/QG_Do5-Djc8/00238,57,9
train/id05010/cIiE2vuaT_I/00265,31,32
train/id06843/RhNn36zXXt0/00175,23,74
train/id04219/8fC_ZCcv1i8/00090,55,35
train/id07293/lVVi9w5Lb24/00229,34,28
train/id01264/rULjamb553Y/00338,0,128
train/id07744/bAQ2XjGzZtg/00366,5,164
train/id02455/U35cj9SOmSA/00239,104,38
train/id08249/dsn2lLxlZbk/00263,79,17
train/id07741/BIKbHajqElw/00109,9,132
train/id06702/sGuruYpQOhY/00436,58,42
train/id07108/DJU3eYgezyQ/00055,1,31
train/id02102/NRUXgEVnG6Q/00214,39,65
train/id07136/84dhZ7L2paw/00093,57,41
train/id08745/hmQrj7eorH0/00400,11,35
train/id03824/VZxqNB9rGrQ/00279,0,174
train/id01457/EB2iCfYHT3c/00042,35,142
train/id08834/CYWH3wMmR4k/00123,12,53
train/id07613/JS9nah3cpU8/00109,20,42
train/id05241/eACIcQwMeI0/00328,4,75
train/id08241/H-lWqIcuZKU/00095,68,6
train/id07560/uB0vx8EGpBQ/00458,3,47
train/id06070/7CHaF5pDV5s/00046,14,76
train/id03258/RxqiLEzzLAs/00258,23,143
train/id01764/uljw5bJIyEg/00452,13,207
train/id03312/rd6hS0QBEnM/00447,16,85
train/id02339/JCHJs7HDmms/00168,5,49
train/id04081/sZRVgS1aul0/00455,35,41
train/id05913/7sk_F1e4PZo/00060,31,64
train/id08053/CtOJ9g1cdQI/00130,30,69
train/id04523/_slXkqJJJg0/00273,113,0
train/id08335/We7FgMFOWHo/00155,36,50
train/id08546/IN5pMJMsJ1k/00111,48,34
train/id08376/WkGz07N_ugs/00153,3,93
train/id04705/VD2n5cWnvNs/00175,10,98
train/id08065/Uqv60Yo2hSI/00190,16,77
train/id08041/_Kr0g55wbIA/00293,73,21
train/id04199/J6UZRjEV0Nk/00130,0,127
train/id02667/KvwlSjrLaV4/00147,23,138
train/id07672/4SojkXAdeHI/00030,2,59
train/id07357/Z_mts9mIZ7k/00262,0,98
train/id03493/iFTdTHzf7S4/00336,3,163
train/id01681/VbttQF8-WWQ/00302,46,82
train/id08066/FDMpYboySTo/00065,4,99
train/id08704/4KovCtkHav4/00044,18,81
train/id02294/hH4Kx0VnD5U/00438,41,270
train/id07837/Ju1s_AgO4EA/00141,193,58
train/id02593/lubN9WdOOKM/00400,10,36
train/id06362/Zz-w-RDachQ/00340,11,86
train/id01857/6Rf85XYO7KI/00066,11,104
train/id08853/9Uo_RcmwV4o/00094,51,2
train/id07982/b_i2DDUwlHU/00225,0,80
train/id06203/NdJy5IzLOeQ/00147,0,54
train/id04586/8XC3Kn4ehTM/00108,19,38
train/id02239/4CzDB_-mMfw/00072,42,46
train/id01057/fUNLDqcXG-Q/00344,60,184
train/id07955/3SmfVfBiE8M/00034,30,77
train/id02343/pyLIkpxj5QQ/00344,2,24
train/id03269/PJEreV5LfKM/00246,94,3
